150,65,"Фитнес, салоны красоты",20 лет
151,66,"Фитнес, салоны красоты",Мужской
152,66,"Фитнес, салоны красоты",Женский
153,67,"Фитнес, салоны красоты",Без опыта
154,67,"Фитнес, салоны красоты",1 год
155,68,"Фитнес, салоны красоты",Высшее
156,68,"Фитнес, салоны красоты",Среднее специальное
157,69,"Фитнес, салоны красоты",Свободный график
158,69,"Фитнес, салоны красоты",Сменный график
159,70,"Фитнес, салоны красоты"," салоны красоты"
160,70,"Фитнес, салоны красоты",Фитнес
161,71,"Фитнес, салоны красоты",Невозможен
162,72,"Фитнес, салоны красоты",Иногда
163,72,"Фитнес, салоны красоты",Не готов
164,73,"Фитнес, салоны красоты"," Подработка"
165,73,"Фитнес, салоны красоты",Основная работа
166,74,"Фитнес, салоны красоты",Нет
167,75,Юриспруденция,18 лет
168,75,Юриспруденция,38 лет
169,75,Юриспруденция,39 лет
170,75,Юриспруденция,32 года
171,75,Юриспруденция,19 лет
172,75,Юриспруденция,54 года
173,76,Юриспруденция,Неполный день
174,76,Юриспруденция,Удалённая работа
175,77,Юриспруденция,Юриспруденция
176,78,Юриспруденция,Незаконченное высшее
177,79,Юриспруденция,7 месяцев
178,79,Юриспруденция,14 лет
179,79,Юриспруденция,10 лет
